Committee_Id,Committee_Name,Link_Image,Committee_Election_State,Committee_Election_District,Report_Type,Receipt_Date,Coverage_Start_Date,Coverage_End_Date,Quarterly_Contribution,Semi_Annual_Contribution
"C00618389","TRUMP VICTORY","http://docquery.fec.gov/cgi-bin/fecimg/?_201910239165292591+0","","","OCTOBER QUARTERLY","23-OCT-19","01-JUL-19","30-SEP-19","952033.65","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201910189165154104+0","","","OCTOBER MONTHLY","18-OCT-19","01-SEP-19","30-SEP-19","217350","0"
"C00618389","TRUMP VICTORY","http://docquery.fec.gov/cgi-bin/fecimg/?_201910159164575428+0","","","OCTOBER QUARTERLY","15-OCT-19","01-JUL-19","30-SEP-19","910000","0"
"C00656686","TOM MALINOWSKI FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201910159163891263+0","NJ","07","OCTOBER QUARTERLY","15-OCT-19","01-JUL-19","30-SEP-19","32184.54","0"
"C00140715","HOYER FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201910159163931088+0","MD","05","OCTOBER QUARTERLY","15-OCT-19","01-JUL-19","30-SEP-19","22950","0"
"C00326801","TAMMY BALDWIN FOR SENATE","http://docquery.fec.gov/cgi-bin/fecimg/?_201910159163912497+0","WI","","OCTOBER QUARTERLY","15-OCT-19","01-JUL-19","30-SEP-19","0","0"
"C00255562","FRIENDS OF JIM CLYBURN","http://docquery.fec.gov/cgi-bin/fecimg/?_201910159163907766+0","","","OCTOBER QUARTERLY","15-OCT-19","01-JUL-19","30-SEP-19","29000","0"
"C00437277","JEFF MERKLEY FOR OREGON","http://docquery.fec.gov/cgi-bin/fecimg/?_201910159163893211+0","OR","","OCTOBER QUARTERLY","15-OCT-19","01-JUL-19","30-SEP-19","20919.54","0"
"C00711549","AMY MCGRATH FOR SENATE, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_201910159163864238+0","KY","","OCTOBER QUARTERLY","15-OCT-19","01-JUL-19","30-SEP-19","90788","90788"
"C00458828","TEAM GRAHAM, INC.","http://docquery.fec.gov/cgi-bin/fecimg/?_201910159164907301+0","SC","00","OCTOBER QUARTERLY","15-OCT-19","01-JUL-19","30-SEP-19","115000","0"
"C00684621","FRIENDS OF TOM HARRISON","http://docquery.fec.gov/cgi-bin/fecimg/?_201910159164190810+0","","","OCTOBER QUARTERLY","15-OCT-19","01-JUL-19","30-SEP-19","0","0"
"C00641381","MCCREADY FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201910109163789672+0","NC","09","POST-SPECIAL","10-OCT-19","22-AUG-19","30-SEP-19","30316.5","0"
"C00523738","GERSON FOR CONGRESS","http://docquery.fec.gov/cgi-bin/fecimg/?_201910049163751903+0","","","OCTOBER QUARTERLY","04-OCT-19","01-JUL-19","30-SEP-19","0","0"
"C00000935","DCCC","http://docquery.fec.gov/cgi-bin/fecimg/?_201909209163464983+0","","","SEPTEMBER MONTHLY","20-SEP-19","01-AUG-19","31-AUG-19","555415","0"
